true_title,journal_lowercase
"Novel stereoconvergent transformation of 1,2a-disubstituted 1,2,2a,8b-tetrahydro-3H-benzo[b]cyclobuta[d]pyran-3-ones to 1,3-disubstituted 1,2,4a,9b-tetrahydrodibenzofuran-4-ols and its application to the second-generation synthesis of (±)-linderol A",organic & biomolecular chemistry
Total synthesis of 12-methoxydihydrochelerythrine and anti-tumour activity of its quaternary base: toward an efficient synthetic route for 12-alkoxybenzo[c]phenanthridine bases via naphthoquinone monooxime from 2-benzofuranyl-1-tetralone derivative,organic & biomolecular chemistry
"Synthesis of trimethyl (2S,3R)- and (2R,3R)-[2-2H1]-homocitrates and dimethyl (2S,3R)- and (2R,3R)-[2-2H1]-homocitrate lactones—an assay for the stereochemical outcome of the reaction catalysed both by homocitrate synthase and by the Nif-V protein",organic & biomolecular chemistry
"An efficient novel synthesis of β-(azuleno[1,2-b]benzothienyl)- and β-(azuleno[2,1-b]benzothienyl)-α,β-unsaturated ketones by the tropylium ion-mediated intramolecular furan ring-opening reaction and X-ray investigation of methyl ketone derivative",organic & biomolecular chemistry
"A theoretical investigation of the effect of a sodium cation on the proton–electron hyperfine coupling constants of the cyclohexadienyl radical and some consequences for the muonium-substituted cyclohexadienyl radical, C6H6Mu, formed in zeolites",physica b: condensed matter
The electronic contribution to the elastic constants in strained layer quantum well superlattices of non-parabolic semiconductors with graded interfaces under magnetic quantization: Simplified theory and suggestion for experimental determination,physica b: condensed matter
"Butanolysis of 4-methylbenzenediazonium ions in binary n-BuOH/H2O mixtures and in n-BuOH/SDS/H2O reverse micelles. Effects of solvent composition, acidity and temperature on the switch between heterolytic and homolytic dediazoniation mechanisms",organic & biomolecular chemistry
"Synthesis of the 1,6,8-trioxadispiro[4.1.5.2]tetradec-11-ene ring system present in the spirolide family of shellfish toxins and its conversion into a 1,6,8-trioxadispiro[4.1.5.2]-tetradec-9-en-12-ol via base-induced rearrangement of an epoxide",organic & biomolecular chemistry
An advanced and novel one-pot synthetic method for diverse benzo[c]chromen-6-ones by transition-metal free mild base-promoted domino reactions of substituted 2-hydroxychalcones with β-ketoesters and its application to polysubstituted terphenyls,organic & biomolecular chemistry
"Enzymatic cyclizations of squalene analogs with threo- and erythro-diols at the 6,7- or 10,11-positions by recombinant squalene cyclase. Trapping of carbocation intermediates and mechanistic insights into the product and substrate specificities",organic & biomolecular chemistry
"Synthesis of N3- and 2-NH2-substituted 6,7-diphenylpterins and their use as intermediates for the preparation of oligonucleotide conjugates designed to target photooxidative damage on single-stranded DNA representing the bcr–abl chimeric gene",organic & biomolecular chemistry
Low-temperature X-ray structural studies of the ester and ether derivatives of cis- and trans-4-tert-butyl cyclohexanol and 2-adamantanol: application of the variable oxygen probe to determine the relative σ-donor ability of C–H and C–C bonds,organic & biomolecular chemistry
"Stereoselective functionalisation of cis- and trans-2-ferrocenyl-3-pivaloyl-4-alkyl-1,3-oxazolidin-5-ones: asymmetric synthesis of (R)- and (S)-2-alkyl-2-aminopent-4-enoic acids and (2R,3S)-2-amino-2-methyl-3-hydroxy-3-phenylpropanoic acid",organic & biomolecular chemistry
"Syntheses of various symmetrical naphthalenophanes and anthracenophanes via a Diels–Alder reaction between syn-[2.2](5,8)phthalazinophane derivatives and some selected dienophiles as well as the synthesis of other symmetrical heterophanes",organic & biomolecular chemistry
"Efficient synthesis of functionalized dihydroquinolines, quinolines and dihydrobenzo[b]azepine via an iron(III) chloride-catalyzed intramolecular alkyne–carbonyl metathesis of alkyne tethered 2-amino benzaldehyde/acetophenone derivatives",organic & biomolecular chemistry
Correction: Facile functionalization at the C4 position of pyrimidine nucleosides via amide group activation with (benzotriazol-1-yloxy)tris(dimethylamino)phosphonium hexafluorophosphate (BOP) and biological evaluations of the products,organic & biomolecular chemistry
"Synthesis of β-lactams by transition metal promoted Staudinger reactions: alternative synthetic approaches from transition metal enhanced organocatalysis to in situ, highly reactive intermediate synthesis and catalytic tandem reactions",organic & biomolecular chemistry
"Determination of the absolute configurations of bicyclo[3.1.0]hexane derivatives via electronic circular dichroism, optical rotation dispersion and vibrational circular dichroism spectroscopy and density functional theory calculations",organic & biomolecular chemistry
"Theoretical (DFT, GIAO–NMR, NICS) study of carbocations (M+H)+, dications (M2+) and dianions (M2−) from dihydro-dicyclopenta[ef,kl]heptalene (dihydro-azupyrene), dihydro-dicyclohepta[ed,gh]pentalene, and related bridged [14]annulenes",organic & biomolecular chemistry
"Isoprenoid biosynthesis via the MEP pathway. Synthesis of (3R,4S)-3,4-dihydroxy-5-oxohexylphosphonic acid, an isosteric analogue of 1-deoxy-D-xylulose 5-phosphate, the substrate of the 1-deoxy-D-xylulose 5-phosphate reducto-isomerase",organic & biomolecular chemistry
Development of two processes for the synthesis of bridged azabicyclic systems: intermolecular radical addition–homoallylic rearrangements leading to 2-azanorborn-5-enes and neophyl-type radical rearrangements to 2-azabenzonorbornanes,organic & biomolecular chemistry
"Structural scaffold of 18-crown-6 tetracarboxylic acid for optical resolution of chiral amino acid: X-ray crystal analyses and energy calculations of complexes of D- and L-isomers of tyrosine, isoleucine, methionine and phenylglycine",organic & biomolecular chemistry
Rapid methylation of terminal acetylenes by the Stille coupling of methyl iodide with alkynyltributylstannanes: a general protocol potentially useful for the synthesis of short-lived 11CH3-labeled PET tracers with a 1-propynyl group,organic & biomolecular chemistry
"The synthesis of novel heteroaryl-fused 7,8,9,10-tetrahydro-6H-azepino[1,2-a]indoles, 4-oxo-2,3-dihydro-1H-[1,4]diazepino[1,7-a]indoles and 1,2,4,5-tetrahydro-[1,4]oxazepino[4,5-a]indoles. Effective inhibitors of HCV NS5B polymerase",organic & biomolecular chemistry
"Production of epoxydammaranes by the enzymatic reactions of (3R)- and (3S)-2,3-squalene diols and those of 2,3:22,23-dioxidosqualenes with recombinant squalene cyclase and the mechanistic insight into the polycyclization reactions",organic & biomolecular chemistry
"Easy access to trans-2,3-disubstituted cyclobutanones, 2,4,5-trisubstituted 3,6-dihydro-2H-pyrans and cis-substituted phenylcyclopropylsulfones by using the highly versatile 1-phenylsulfenyl- or 1-phenylsulfonyl-cyclopropylketones",organic & biomolecular chemistry
"The mechanism and regioselectivity of the ene reactions of nitroso compounds: a theoretical study of reactivity, regioselectivity, and kinetic isotope effects establishes a stepwise path involving polarized diradical intermediates",organic & biomolecular chemistry
"Design and synthesis of a novel fluorescent benzo[g]imidazo[4,5-c]quinoline nucleoside for monitoring base-pair-induced protonation with cytosine: distinguishing cytosine via changes in the intensity and wavelength of fluorescence",organic & biomolecular chemistry
"Influence of crossed electric and quantizing magnetic fields on the Einstein relation in nonlinear optical, optoelectronic and related materials: Simplified theory, relative comparison and suggestion for experimental determination",physica b: condensed matter
"The surprising nucleophilic addition of aminochlorocarbenes to diethyl acetylenedicarboxylate and to oxalyl chloride: quinolines and benzo[1,4]diazepines from N-alkylformanilides and oxalyl chloride in the presence of Hünig's base",organic & biomolecular chemistry
"Glass-crystal transformation under non-isothermal conditions: Kinetic analysis of the Ag0.16As0.38Se0.46 glassy alloy by using a new theoretical method based on nucleation and growth processes, which depend on time as a power law",physica b: condensed matter
"Practical, general, and systematic method for optical resolution of gem-dihalo- and monohalocyclopropanecarboxylic acids utilizing chiral 1,1′-binaphtholmonomethyl ethers: Application to the synthesis of three chiral pesticides",organic & biomolecular chemistry
"The nucleophilic addition of α-metallated 1,3-dioxanes to planar chiral cationic η3-allylmolybdenum complexes. Synthesis of (2E,5S,6R,7E)-6-methyl-8-phenylocta-2,7-dienoic acid methyl ester, a key component of the Cryptophycins",organic & biomolecular chemistry
The anisotropic effect of functional groups in 1H NMR spectra is the molecular response property of spatial nucleus independent chemical shifts (NICS)—Conformational equilibria of exo/endotetrahydrodicyclopentadiene derivatives,organic & biomolecular chemistry
"Photovoltaic performance of dye-sensitized solar cells based on donor–acceptor π-conjugated benzofuro[2,3-c]oxazolo[4,5-a]carbazole-type fluorescent dyes with a carboxyl group at different positions of the chromophore skeleton",organic & biomolecular chemistry
"Circular dichroism, optical rotation and absolute configuration of 2-cyclohexenone-cis-diol type phenol metabolites: redefining the role of substituents and 2-cyclohexenone conformation in electronic circular dichroism spectra",organic & biomolecular chemistry
"Investigation on the growth, spectral, lifetime, mechanical analysis and third-order nonlinear optical studies of L-methionine admixtured D-mandelic acid single crystal: A promising material for nonlinear optical applications",physica b: condensed matter
"Facile coupling of propargylic, allylic and benzylic alcohols with allylsilane and alkynylsilane, and their deoxygenation with Et3SiH, catalyzed by Bi(OTf)3 in [BMIM][BF4] ionic liquid (IL), with recycling and reuse of the IL",organic & biomolecular chemistry
"Regioselective synthesis of functionalized 3,5-diketoesters and 2,4-diketosulfones by uncatalyzed condensation of 1-methoxy-1,3-bis(trimethylsilyloxy)-1,3-butadienes with α,β-unsaturated acid chlorides and sulfonyl chlorides",organic & biomolecular chemistry
Synthesis and structural investigations of N-alkylated β-peptidosulfonamide–peptide hybrids of the amyloidogenic amylin(20–29) sequence: implications of supramolecular folding for the design of peptide-based bionanomaterials,organic & biomolecular chemistry
Complexation of a pentiptycene-derived trans-bis(crown ether) host with different terminally functionalized paraquat derivatives in solution and the solid state: a switchable complexation process controlled by potassium ions,organic & biomolecular chemistry
"Enantiopure lanthanide complexes incorporating a tetraazatriphenylene sensitiser and three naphthyl groups: exciton coupling, intramolecular energy transfer, efficient singlet oxygen formation and perturbation by DNA binding",organic & biomolecular chemistry
"Fused imidazoles as potential chemical scaffolds for inhibition of heat shock protein 70 and induction of apoptosis. Synthesis and biological evaluation of phenanthro[9,10-d]imidazoles and imidazo[4,5-f][1,10]phenanthrolines",organic & biomolecular chemistry
"Chiral 1-phenylethylamine-derived phosphine-phosphoramidite ligands for highly enantioselective Rh-catalyzed hydrogenation of β-(acylamino)acrylates: significant effect of substituents on 3,3′-positions of binaphthyl moiety",organic & biomolecular chemistry
Target-specific identification and characterization of the putative gene cluster for brasilinolide biosynthesis revealing the mechanistic insights and combinatorial synthetic utility of 2-deoxy-L-fucose biosynthetic enzymes,organic & biomolecular chemistry
Rationale for the opposite stereochemistry of the major monoadducts and interstrand crosslinks formed by mitomycin C and its decarbamoylated analogue at CpG steps in DNA and the effect of cytosine modification on reactivity,organic & biomolecular chemistry
Facile functionalization at the C4 position of pyrimidine nucleosides via amide group activation with (benzotriazol-1-yloxy)tris(dimethylamino)phosphonium hexafluorophosphate (BOP) and biological evaluations of the products,organic & biomolecular chemistry
Investigation of transannular cycloaddition reactions involving furanoxonium ions using DFT calculations. Implications for the origin of plumarellide and rameswaralide and related polycyclic metabolites isolated from corals,organic & biomolecular chemistry
"Nitrenium ions. Reactions of N,N-dimethyl-p-benzoyloxyaniline-iminium chloride with indoles and indolizines. X-ray structure of unexpected [2-chloro-4-(4-dimethylaminophenyl-ONN-azoxy)phenyl]dimethylamine (azoxy derivative)",organic & biomolecular chemistry
"Diversity-oriented synthesis of fused thioglycosyl benzo[e][1,4]oxathiepin-5-ones and benzo[f][1,4]thiazepin-5(2H)-ones by a sequence of palladium-catalyzed glycosyl thiol arylation and deprotection–lactonization reactions",organic & biomolecular chemistry
"In the first proven SN2′ fullerene reaction, both C3 and C1 C60F36 hydrolyse to C1 isomers of C60F35OH that eliminate HF to give epoxides C60F34O; C60F36O oxides are shown to be ethers, and a fourth isomer of C60F36 exists",organic & biomolecular chemistry
"Peptide backbone folding induced by the Cα-tetrasubstituted cyclic α-amino acids 4-amino-1,2-dithiolane-4-carboxylic acid (Adt) and 1-aminocyclopentane-1-carboxylic acid (Ac5c). A joint computational and experimental study",organic & biomolecular chemistry
"Tuning of electronic band gaps and optoelectronic properties of binary strontium chalcogenides by means of doping of magnesium atom(s)- a first principles based theoretical initiative with mBJ, B3LYP and WC-GGA functionals",physica b: condensed matter
"8-Aza-7-deazaguanine nucleosides and oligonucleotides with octadiynyl side chains: synthesis, functionalization by the azide-alkyne ‘click’ reaction and nucleobase specific fluorescence quenching of coumarin dye conjugates",organic & biomolecular chemistry
"5,7-Bis(2′-arylethenyl)-6H-1,4-diazepine-2,3-dicarbonitriles: synthesis, and experimental and theoretical evaluation of the effects of substituents at 5,6,7-positions on the molecular configuration and spectral properties",organic & biomolecular chemistry
"Facile synthesis of spiro[indoline-3,3′-pyrrolo[1,2-a]quinolines] and spiro[indoline-3,1′-pyrrolo[2,1-a]isoquinolines] via 1,3-dipolar cycloaddition reactions of heteroaromatic ammonium salts with 3-phenacylideneoxindoles",organic & biomolecular chemistry
"Hydroxylation of DHEA, androstenediol and epiandrosterone by Mortierella isabellinaAM212. Evidence indicating that both constitutive and inducible hydroxylases catalyze 7α- as well as 7β-hydroxylations of 5-ene substrates",organic & biomolecular chemistry
"Rotational isomerism involving an acetylenic carbon IV: synthesis and structure of bis(1,1′;3′,1″-terphenyl-2′-yl)ethynes: molecular design of sterically congested alkynes toward restricted rotation about acetylenic axis.",organic & biomolecular chemistry
"Trifluoromethylated cyclic-ADP-ribose mimic: synthesis of 8-trifluoromethyl-N1-[(5′′-O-phosphorylethoxy)methyl]-5′-O-phosphorylinosine-5′,5′′-cyclic pyrophosphate (8-CF3-cIDPRE) and its calcium release activity in T cells",organic & biomolecular chemistry
Reaction cascades initiated by nucleophilic attack of heteropentalene mesomeric betaine and nitrogen-rich mesoionic tetrazolium-5-amides on electron-deficient unsaturated compounds. Synthesis of novel heterocyclic systems,organic & biomolecular chemistry
"Palladium-catalyzed direct addition of arylboronic acids to 2-aminobenzonitrile derivatives: synthesis, biological evaluation and in silico analysis of 2-aminobenzophenones, 7-benzoyl-2-oxoindolines, and 7-benzoylindoles",organic & biomolecular chemistry
"New strategies and building blocks for functionalised 9,10-bis(1,3-dithiol-2-ylidene)-9,10-dihydroanthracene derivatives, including pyrrolo-annelated derivatives and π-extended systems with intramolecular charge-transfer",organic & biomolecular chemistry
"Combination of chiroptical, absorption and fluorescence spectroscopic methods reveals multiple, hydrophobicity-driven human serum albumin binding of the antimalarial atovaquone and related hydroxynaphthoquinone compounds",organic & biomolecular chemistry
LNA units present in the (2′-OMe)-RNA strand stabilize parallel duplexes (2′-OMe)-RNA/[All-RP-PS]-DNA and parallel triplexes (2′-OMe)-RNA/[All-RP-PS]-DNA/RNA. An improved tool for the inhibition of reverse transcription,organic & biomolecular chemistry
"Two-photon induced luminescence, singlet oxygen generation, cellular uptake and photocytotoxic properties of amphiphilic Ru(II) polypyridyl–porphyrin conjugates as potential bifunctional photodynamic therapeutic agents",organic & biomolecular chemistry
Bridgehead enolate or bridgehead organolithium? DFT calculations provide insights into a difficult bridgehead substitution reaction in the synthesis of the polycyclic polyprenylated acylphloroglucinol (PPAP) nemorosone,organic & biomolecular chemistry
An ortho-palladated dimethylbenzylamine complex as a highly efficient turnover catalyst for the decomposition of PS insecticides. Mechanistic studies of the methanolysis of some PS-containing phosphorothioate triesters,organic & biomolecular chemistry
Peculiar oxygen and copper isotope effects on the pseudogap formation temperature in underdoped to overdoped cuprates: Pseudogap induced by pairing correlations above Tc in cuprates with large and small Fermi surfaces,physica b: condensed matter
"Butane-1,4-diyl dications stabilized by steric factors: electrochiroptical response systems based on reversible interconversion between dihydro[5]helicene-type electron acceptors and electron-donating 1,1′-binaphthyls",organic & biomolecular chemistry
Generation of α-phosphonovinyl radicals and development of a new route to highly functionalized vinylphosphonates and vinylphosphonate-incorporated carbocyclic or heterocyclic compounds via a radical trapping sequence,organic & biomolecular chemistry
"Conformationally tailored N-[(2-methyl-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl)carbonyl]proline templates as molecular tools for the design of peptidomimetics. Design and synthesis of fibrinogen receptor antagonists",organic & biomolecular chemistry
An efficient approach to gem-difluorocyclopropylstannanes via highly regio- and stereoselective hydrostannylation of gem-difluorocyclopropenes and their unique ring-opening reaction to afford β-fluoroallylic alcohols,organic & biomolecular chemistry
"Kinetic and equilibrium studies of σ-adduct formation and nucleophilic substitution in the reactions of 2-phenoxy-3,5-dinitropyridine and 2-ethoxy-3,5-dinitropyridine with aliphatic amines in dipolar aprotic solvents",organic & biomolecular chemistry
Palladium-catalyzed carbonylation of halo arene-cis-dihydrodiols to the corresponding carboxylates. Access to compounds unavailable by toluene dioxygenase-mediated dihydroxylation of the corresponding benzoate esters,organic & biomolecular chemistry
Overriding the alkynophilicity of gold: catalytic pathways from higher energy Au(I)–substrate complexes and reactant deactivation via unproductive complexation in the gold(I)-catalyzed propargyl Claisen rearrangement,organic & biomolecular chemistry
"Hydrolytic stability of 2′,3′-O-methyleneadenos-5′-yl 2′,5′-di-O-methylurid-3′-yl 5′-O-methylurid-3′(2′)-yl phosphate: implications to feasibility of existence of phosphate-branched RNA under physiological conditions",organic & biomolecular chemistry
"syn-Benzene dioxides: chemoenzymatic synthesis from 2,3-cis-dihydrodiol derivatives of monosubstituted benzenes and their application in the synthesis of regioisomeric 1,2- and 3,4-cis-dihydrodiols and 1,4-dioxocins",organic & biomolecular chemistry
"First total synthesis of the 7-oxygenated carbazole alkaloids clauszoline-K, 3-formyl-7-hydroxycarbazole, clausine M, clausine N and the anti-HIV active siamenol using a highly efficient palladium-catalyzed approach",organic & biomolecular chemistry
Structure-activity relationship study on artificial CXCR4 ligands possessing the cyclic pentapeptide scaffold: the exploration of amino acid residues of pentapeptides by substitutions of several aromatic amino acids,organic & biomolecular chemistry
"Stereoselective preparation of conjugated (Z)-1,3-enynes by dehydration reactions of allenic bromohydrins and the use of the enynes in base-mediated tandem allylation ene-carbocyclization reactions with β-ketoesters",organic & biomolecular chemistry
A DBU-catalyzed Michael–Pinner–isomerization cascade reaction of 3-hydroxyoxindoles with isatylidene malononitriles: access to highly functionalized bispirooxindoles containing a fully substituted dihydrofuran motif,organic & biomolecular chemistry
"PET (positron emission tomography) imaging of biomolecules using metal–DOTA complexes: a new collaborative challenge by chemists, biologists, and physicians for future diagnostics and exploration of in vivo dynamics",organic & biomolecular chemistry
Binding energy and nonlinear optical properties of an on-center hydrogenic impurity in a spherical quantum dot placed at the center of a cylindrical nano-wire: Comparison of hydrogenic donor and acceptor impurities,physica b: condensed matter
The carrier contribution to the elastic constants in superlattices of non-parabolic semiconductors with graded interfaces under magnetic quantization: simplified theory and suggestion for experimental determination,physica b: condensed matter
"The [3 + 2] cycloaddition reaction of thiazole carbene-derived C-C-Se 1,3-dipoles: a concise and highly efficient strategy for the construction of multifunctional dihydroselenophenes and selenopheno[2,3-b]pyrazines",organic & biomolecular chemistry
On the enantioselectivity of aziridination of styrene catalysed by copper triflate and copper-exchanged zeolite Y: consequences of the phase behaviour of enantiomeric mixtures of N-arene-sulfonyl-2-phenylaziridines,organic & biomolecular chemistry
Synthesis of nisin AB dicarba analogs using ring-closing metathesis: influence of sp3versus sp2 hybridization of the α-carbon atom of residues dehydrobutyrine-2 and dehydroalanine-5 on the lipid II binding affinity,organic & biomolecular chemistry
"Regiocontrolled synthesis of (hetero)aryl and alkenyl dehydropyrrolidines, dehydropiperidines and azepenes by Ru-catalyzed, heteroatom-directed α-C–H activation/cross-coupling of cyclic enamides with boronic acids",organic & biomolecular chemistry
"Polyhydroxylated pyrrolizidine alkaloids from transannular iodoaminations: application to the asymmetric syntheses of (−)-hyacinthacine A1, (−)-7a-epi-hyacinthacine A1, (−)-hyacinthacine A2, and (−)-1-epi-alexine",organic & biomolecular chemistry
"DABCO catalyzed domino Michael/hydroalkoxylation reaction involving α-alkynyl-β-aryl nitroolefins: excellent stereoselective access to dihydropyrano[3,2-c]chromenes, pyranonaphthoquinones and related heterocycles",organic & biomolecular chemistry
"β-Amyrin synthase from Euphorbia tirucalli. Steric bulk, not the π-electrons of Phe, at position 474 has a key role in affording the correct folding of the substrate to complete the normal polycyclization cascade",organic & biomolecular chemistry
"A novel and efficient synthesis of diverse dihydronaphtho[1,2-b]furans using the ceric ammonium nitrate-catalyzed formal [3 + 2] cycloaddition of 1,4-naphthoquinones to olefins and its application to furomollugin",organic & biomolecular chemistry
Density functional theory and atoms-in-molecule study on the role of two-electron stabilizing interactions in retro Diels–Alder reaction of cycloadducts derived from substituted cyclopentadiene and p-benzoquinone,organic & biomolecular chemistry
"Discovery, stereospecific characterization and peripheral modification of 1-(pyrrolidin-1-ylmethyl)-2-[(6-chloro-3-oxo-indan)-formyl]-1,2,3,4-tetrahydroisoquinolines as novel selective κ opioid receptor agonists",organic & biomolecular chemistry
"Regioselective intramolecular ring closure of 2-amino-6-bromo-2,6-dideoxyhexono-1,4-lactones to 5- or 6-membered iminuronic acid analogues: synthesis of 1-deoxymannojirimycin and 2,5-dideoxy-2,5-imino-D-glucitol",organic & biomolecular chemistry
Long-wavelength limit of the static structure factors for mixtures of two simple molten salts with a common ion and generalized Bhatia–Thornton formalism: Molecular dynamics study of molten mixture Ag(Br0.7I0.3),physica b: condensed matter
The synthesis of the pyranonaphthoquinones dehydroherbarin and anhydrofusarubin using Wacker oxidation methodology as a key step and other unexpected oxidation reactions with ceric ammonium nitrate and salcomine,organic & biomolecular chemistry
"An efficient one pot regioselective synthesis of a 3,3′-spiro-phosphonylpyrazole-oxindole framework via base mediated [1,3]-dipolar cycloaddition reaction of the Bestmann–Ohira reagent with methyleneindolinones",organic & biomolecular chemistry
"Corrigendum to “Comment on the “Five-parameter equation of solids considering thermal effect which correctly incorporates cohesive energy”, by Zhang Da, Sun Jiuxun, Zhao Yinmei, Physica B 406 (2011) 1276–1282” ",physica b: condensed matter
Remarkable effect of tris(4-fluorophenyl)phosphine oxide on the stabilization of chiral lanthanum complex catalysts. A new and practical protocol for the highly enantioselective epoxidation of conjugated enones,organic & biomolecular chemistry
"Full relative stereochemistry assignment and conformational analysis of 13,19-didesmethyl spirolide CviaNMR- and molecular modeling-based techniques. A step towards understanding spirolide’s mechanism of action",organic & biomolecular chemistry
Rapid synthesis of quinoline-4-carboxylic acid derivatives from arylimines and 2-substituted acrylates or acrylamides under indium(III) chloride and microwave activations. Scope and limitations of the reaction,organic & biomolecular chemistry
Calculation of generalized spin stiffness constant of strongly correlated doped quantum antiferromagnet on two-dimensional lattice and it’s application to effective exchange constant for semi-itinerant systems,physica b: condensed matter
Rapid detection of hydrazine in a naphthol-fused chromenyl loop and its effectiveness in human lung cancer cells: tuning remarkable selectivity via the reaction altered pathway supported by theoretical studies,organic & biomolecular chemistry
"Enantioselective synthesis of 1,2,3,4-tetrahydroquinoline-4-ols and 2,3-dihydroquinolin-4(1H)-ones via a sequential asymmetric hydroxylation/diastereoselective oxidation process using Rhodococcus equi ZMU-LK19",organic & biomolecular chemistry
"Synthesis of benzo-fused lactams and lactones via Ru(II)-catalyzed cycloaddition of amide- and ester-tethered α,ω-diynes with terminal alkynes: electronic directing effect of internal conjugated carbonyl group",organic & biomolecular chemistry
